"Token", "Item Name", "Description", "Category", "SKU", "Variation Name", "Price", "Enabled Fraser Highland Shoppe", "Current Quantity Fraser Highland Shoppe", "New Quantity Fraser Highland Shoppe", "Stock Alert Enabled Fraser Highland Shoppe", "Stock Alert Count Fraser Highland Shoppe", "Price Fraser Highland Shoppe", "Enabled DEVEL", "Current Quantity DEVEL", "New Quantity DEVEL", "Stock Alert Enabled DEVEL", "Stock Alert Count DEVEL", "Price DEVEL", "Tax - GST (5%)"
,"Bagpipe Drone Stopper","Bagpipe Drone Stopper aka Corks","Bagpipe Parts",BP-S-Drones,Regular,3.57,Y,5,5,Y,1,,N,,,,,,Y
,"Bagpipe Goose Adaptor","Bagpipe Goose Adaptor","Bagpipe Parts",BP-P-Goose,Regular,12.14,Y,2,2,Y,0,,N,,,,,,Y
,"Bagpipe Goose Adaptor with Airflow Valve","Bagpipe Goose Adaptor with Airflow Valve","Bagpipe Parts",BP-P-GooseValve,Regular,15.95,Y,3,3,Y,0,,N,,,,,,Y
,"Bagpipe Stock Stopper","Bagpipe Stock Stopper aka Corks","Bagpipe Parts",BP-S-Stocks,Regular,5.00,Y,3,3,Y,1,,N,,,,,,Y
,"Black Silk cords for Bagpipes","Black Silk cords for Bagpipes","Bagpipe Parts",BP-SILK-BLACK,Regular,20.00,Y,0,0,Y,0,,N,,,,,,Y
,"Chanter Stock Cover","This Chanter stock cover is used to protect the reed when you remove the chanter from your bagpipe after playing. By doing so the reed is protected and will not absorb moisture from the pipe bag when you are not playing. This enhances the life of the reed","Bagpipe Parts",BP-C-StockCover,Regular,15.00,Y,2,2,Y,0,,N,,,,,,Y
,"Dycem Anti Slip Patch","This Dycem anti-slip patch is sewn onto the pipe bag cover to help keep the pipe bag up under your arm while playing. This can be extremely important depending on what type of material your jacket is made of. Some pipers use one patch where it is situated","Bagpipe Parts",BP-DYCEM,Regular,4.76,Y,4,4,Y,1,,N,,,,,,Y
,"Pipe Bag Bannatyne Hybrid ","The Bannatyne Pipe bag is a unique hybrid of a traditional hyde bag, and the new synthetic bags, combining the best of both types. The synthetic lining means that seasoning is not necessary. While the hyde style fabric on the outside of the bag give the same feel as a traditional hyde bag. The zipper allows access to the bag for different moisture control systems. Tying in is easy, and each Bannatyne pipe bag come with a water trap. Bannatyne bags come in sizes Small Extended, Medium, and Large. ","Bagpipe Parts",BP-BAG-BH,Regular,238.09,Y,0,0,Y,0,,N,,,,,,Y
,"Pipe Bag Ross Suede","The Ross Suede Canister Pipe Bag has the same properties as the previous Ross Pipe bag, however it has the upgrade of a new suede exterior material. The Ross Suede Pipe Bag provides comfort and the feel of a leather or sheepskin bag. The Ross bag comes with a zipper so that you can add the Ross Canister system. This will provide the ultimate in moisture control. The bag can be played with or without a canister system. This is a bag only set-up, however you can add a Ross Canister system as an option when ordering. Ross bags are available in Livingstone, Small Extended, Medium, and Large. ","Bagpipe Parts",BP-BAG-RS,Regular,261.90,Y,0,0,Y,0,,N,,,,,,Y
,"Plastic Mouthpiece 3""","Bagpipe Mouthpieces Different size mouthpieces are available for the bagpipe. This way you can alter the length of the blowpipe on your pipes without having to buy a new blowpipe. These mouthpieces are made of Delrin, so they are strong and will last a long time. They will fit on most blowpipes. 5 sizes in total are available 2 1/2"", 3"", 4"", 5"", 6"". A proper fitting blowpipe will help with your posture when playing your bagpipe. ","Bagpipe Parts",BP-M-Mouthpiece3,Regular,15.00,Y,5,5,Y,0,,N,,,,,,Y
,"Plastic Mouthpiece 4""","Bagpipe Mouthpieces Different size mouthpieces are available for the bagpipe. This way you can alter the length of the blowpipe on your pipes without having to buy a new blowpipe. These mouthpieces are made of Delrin, so they are strong and will last a long time. They will fit on most blowpipes. 5 sizes in total are available 2 1/2"", 3"", 4"", 5"", 6"". A proper fitting blowpipe will help with your posture when playing your bagpipe. ","Bagpipe Parts",BP-M-Mouthpiece4,Regular,15.00,Y,5,5,Y,0,,N,,,,,,Y
,"Plastic Mouthpiece 5""","Bagpipe Mouthpieces Different size mouthpieces are available for the bagpipe. This way you can alter the length of the blowpipe on your pipes without having to buy a new blowpipe. These mouthpieces are made of Delrin, so they are strong and will last a long time. They will fit on most blowpipes. 5 sizes in total are available 2 1/2"", 3"", 4"", 5"", 6"". A proper fitting blowpipe will help with your posture when playing your bagpipe. ","Bagpipe Parts",BP-M-Mouthpiece5,Regular,15.00,Y,5,5,Y,0,,N,,,,,,Y
,"Plastic Mouthpiece 6""","Bagpipe Mouthpieces Different size mouthpieces are available for the bagpipe. This way you can alter the length of the blowpipe on your pipes without having to buy a new blowpipe. These mouthpieces are made of Delrin, so they are strong and will last a long time. They will fit on most blowpipes. 5 sizes in total are available 2 1/2"", 3"", 4"", 5"", 6"". A proper fitting blowpipe will help with your posture when playing your bagpipe. ","Bagpipe Parts",BP-M-Mouthpiece6,Regular,15.00,Y,10,10,Y,0,,N,,,,,,Y
,"Ross Canister System"," This system will control the amount of moisture that will flow to the reeds. This system is used by many of the top pipe bands in the world today, and continues to be the system of choice by top players. The system comes with 4 hoses (bass, outside tenor, inside tenor, chanter) a canister with lid, a replacement canister tape, and instruction manual.","Bagpipe Parts",BP-MC-Ross,Regular,130.00,Y,0,0,Y,0,,N,,,,,,Y
,"Rubber Blowstick Valve","This rubber valve requires no modification to your existing blowpipe. It is a device that by design stays closed giving a complete seal with no drying out. Although these valves have a long life, it is good to replace them every once in a while. ","Bagpipe Parts",BP-M-RubberValve,Regular,5.00,Y,5,5,Y,1,,N,,,,,,Y
,"Shepherd Tone Enhancers","Shepherd Tone Enhancers - The Tone Enhancer provides a solution to problems of unsteady blowing holding a constant tone in the drones and preventing excess moisture reaching the drone reeds. Tone enhancers allow players to maintain a tighter pipe bag.","Bagpipe Parts",BP-Tone,Regular,52.38,Y,3,3,Y,0,,N,,,,,,Y
,"Velveteen Bag cover Black with White Fringe","Velveteen Bag cover Black with White Fringe.

The cover has velveteen material with trim options. It comes with a zipper, Velcro close at back and double Dycem patches. Please choose both cover colour,  trim colour, and trim style.","Bagpipe Parts",BP-BCV-BWF,Regular,42.00,Y,0,0,Y,0,,N,,,,,,Y
,"Velveteen Bag cover Black with White Trim","Velveteen Bag cover, Black, with White Trim.

The cover has velveteen material with trim options. It comes with a zipper, Velcro close at back and double Dycem patches. Please choose both cover colour,  trim colour, and trim style.","Bagpipe Parts",BP-BCV-BWT,Regular,42.00,Y,0,0,Y,0,,N,,,,,,Y
,"White Silk cords for Bagpipes","White Silk cords for Bagpipes","Bagpipe Parts",BP-SILK-WHITE,Regular,20.00,Y,0,0,Y,0,,N,,,,,,Y
,"Drone Reed Extenders","Drone Reed Extenders (pack of 3) ?
This product allows drones to lower on the tuning pin. This will help you attain better control and better overall sound. The extenders go into the reed seat and are easily installed. Please note, these are not useful on every set of pipes. Most pipes tune properly, and there are not necessary, but if your drones constantly tune too high on the tuning pins, then this is a product to solve that situation and give you the sound and control you are looking for.","Bagpipe Reeds",BP-R-Extend,Regular,20.95,Y,1,1,Y,0,,N,,,,,,Y
,"Elliot Chanter Reed","Elliot Pipe Chanter Reed - The Elliot Pipe chanter reed is a good stable reed for all levels of player. This reed has been used in both band and solo competitions. Having a good quality bagpipe chanter reed is very important when playing a bagpipe.","Bagpipe Reeds",BP-R-Elliot,Regular,16.19,Y,1,1,Y,0,,N,,,,,,Y
,"Elliot Chanter Reed (Medium)","Elliot Pipe Chanter Reed - The Elliot Pipe chanter reed is a good stable reed for all levels of player. This reed has been used in both band and solo competitions. Having a good quality bagpipe chanter reed is very important when playing a bagpipe.","Bagpipe Reeds",BP-R-Elliot-M,Regular,16.19,Y,1,1,Y,0,,N,,,,,,Y
,"Elliot Chanter Reed (Weak)","Elliot Pipe Chanter Reed - The Elliot Pipe chanter reed is a good stable reed for all levels of player. This reed has been used in both band and solo competitions. Having a good quality bagpipe chanter reed is very important when playing a bagpipe.","Bagpipe Reeds",BP-R-Elliot-W,Regular,16.19,Y,0,0,Y,1,,N,,,,,,Y
,"EZ Drone Reeds ","EZ Drone reeds.  Ezeedrone reeds are made in Scotland. They are being used in many of the top pipe bands, and many of the top solo players today. ","Bagpipe Reeds",ezdrone,Regular,104.76,Y,2,2,Y,2,,N,,,,,,Y
,"EZ Drone Reeds Used","Used EZ Drone reeds","Bagpipe Reeds",ezdrone-used,Regular,75.00,Y,0,0,Y,0,,N,,,,,,Y
,"G1 Chanter Reed","G1 reeds are made solely by John Elliott of Scotland using a combination of traditional and innovative techniques producing a precision reed. Each tube of cane is personally hand selected and only the best are deemed acceptable for G1s high standards.","Bagpipe Reeds",BP-R-G1,Regular,20.00,Y,5,5,Y,1,,N,,,,,,Y
,"JT2 Ridged Reed - Medium","WT Reedmakers are proud to announce the addition of the new JT2 ridged-cut pipe chanter reed to our product line.

After three years of gathering data and extensive testing, we have developed this ridged-cut pipe chanter reed that pipe bands and soloists will enjoy. Hand crafted and made with uncompromising attention to detail, the JT2 provides-

    articulate, brilliant tone
    bright pitch
    powerful volume
    broad, ?electric? High A and High G
    stability
    balanced scale suitable for any model of pipe chanter

With this design pipers will also enjoy the great vibrancy and minimal resistance of the JT2, while offering the same rich character our reeds are known for.","Bagpipe Reeds",BP-R-JT2-M,Regular,19.05,Y,1,1,Y,1,,N,,,,,,Y
,"JT2 Ridged Reed - Weak","JWT Reedmakers are proud to announce the addition of the new JT2 ridged-cut pipe chanter reed to our product line.

After three years of gathering data and extensive testing, we have developed this ridged-cut pipe chanter reed that pipe bands and soloists will enjoy. Hand crafted and made with uncompromising attention to detail, the JT2 provides-

    articulate, brilliant tone
    bright pitch
    powerful volume
    broad, &#147;electric&#148; High A and High G
    stability
    balanced scale suitable for any model of pipe chanter

With this design pipers will also enjoy the great vibrancy and minimal resistance of the JT2, while offering the same rich character our reeds are known for.","Bagpipe Reeds",BP-R-JT2,Regular,19.05,Y,2,2,Y,1,,N,,,,,,Y
,"McAllister Reed - Medium","This reed has been used in both band, and solo competitions. Having a good quality bagpipe chanter reed is very important when playing a bagpipe. Each reed comes pre-tested and packaged individually in a plastic reed pack. This will protect them from chipping when not in use. Reeds are in 3 different strengths, soft, medium and hard. Please specify what strength you are looking for. ","Bagpipe Reeds",BP-R-McAllister-M,Regular,19.05,Y,0,0,Y,0,,N,,,,,,Y
,"McAllister Reed - Weak","This reed has been used in both band, and solo competitions. Having a good quality bagpipe chanter reed is very important when playing a bagpipe. Each reed comes pre-tested and packaged individually in a plastic reed pack. This will protect them from chipping when not in use. Reeds are in 3 different strengths, soft, medium and hard. Please specify what strength you are looking for. ","Bagpipe Reeds",BP-R-McAllister,Regular,19.05,Y,2,2,Y,0,,N,,,,,,Y
,"Megarity Chanter Reed","Megarity Pipe Reeds - this ridge cut style reed is made by long-time reed maker Stephen Megarity. The reed is very free and responds well to moisture. ","Bagpipe Reeds",BP-R-Megarity,Regular,16.19,Y,-1,-1,Y,6,,N,,,,,,Y
,"Megarity Chanter Reed (Easy)","Megarity Pipe Reeds - this ridge cut style reed is made by long-time reed maker Stephen Megarity. The reed is very free and responds well to moisture. ","Bagpipe Reeds",BP-R-Megarity-W,Regular,16.19,Y,1,1,Y,0,,N,,,,,,Y
,"Megarity Chanter Reed (Hard)","Megarity Pipe Reeds - this ridge cut style reed is made by long-time reed maker Stephen Megarity. The reed is very free and responds well to moisture. ","Bagpipe Reeds",BP-R-Megarity-H,Regular,16.19,Y,0,0,Y,0,,N,,,,,,Y
,"Megarity Chanter Reed (Medium)","Megarity Pipe Reeds - this ridge cut style reed is made by long-time reed maker Stephen Megarity. The reed is very free and responds well to moisture. ","Bagpipe Reeds",BP-R-Megarity-M,Regular,16.19,Y,1,1,Y,0,,N,,,,,,Y
,"Reed Elastics","Reed Elastics - These handy little reed elastics are a great little item when you need to make alterations to your pipe or practice chanter reed. Using a reed elastic can alter the strength and pitch of your pipe chanter reed. These elastics come in packs","Bagpipe Reeds",BP-R-ReedElastics,Regular,1.00,Y,9,9,Y,3,,N,,,,,,Y
,"Reed Storage Pack","The Reed Pak is a great little item for the Piper. It is a container that stores 5 pipe chanter reeds. The package is small and will fit in a shirt pocket or sporran. Below the insert that holds the reeds is a moisture strip.","Bagpipe Reeds",BP-R-ReedPack,Regular,10.00,Y,0,0,Y,0,,N,,,,,,Y
,"Shepherd Cane Chanter Reeds Medium","Shepherd Pipe Chanter Reed - The Shepherd Pipe chanter reed is one of the most popular reeds on the market today. It is being used my many of the worlds top pipe bands, and solo players. Each reed comes pre-tested and packaged individually in a plastic reed pack. This will protect them from chipping when not in use. Reeds are in 3 different strengths, soft, medium and hard. Please specify what strength you are looking for. ","Bagpipe Reeds",R01-M,Regular,19.05,Y,4,4,Y,5,,N,,,,,,Y
,"Shepherd Cane Chanter Reeds Weak","Shepherd Pipe Chanter Reed - The Shepherd Pipe chanter reed is one of the most popular reeds on the market today. It is being used my many of the worlds top pipe bands, and solo players. Each reed comes pre-tested and packaged individually in a plastic reed pack. This will protect them from chipping when not in use. Reeds are in 3 different strengths, soft, medium and hard. Please specify what strength you are looking for. ","Bagpipe Reeds",R01-W,Regular,19.05,Y,0,0,Y,2,,N,,,,,,Y
,"Shepherd Cane Concert Bb Chanter Reed","The Shepherd Pipe chanter reed is one of the most popular reeds on the market today. It is being used my many of the worlds top pipe bands, and solo players. ","Bagpipe Reeds",Reed-Bb,Regular,19.05,Y,0,0,Y,5,,N,,,,,,Y
,"Shepherd Cane Ridge Chanter Reeds Medium","The Shepherd Pipe chanter reed is one of the most popular reeds on the market today. It is being used my many of the worlds top pipe bands, and solo players. Each reed comes pre-tested. Reeds are in 3 different strengths, soft, medium and hard. Please specify what strength you are looking for. ","Bagpipe Reeds",SR12-M,Regular,19.05,Y,7,7,Y,0,,N,,,,,,Y
,"Shepherd Cane Ridge Chanter Reeds Weak","The Shepherd Pipe chanter reed is one of the most popular reeds on the market today. It is being used my many of the worlds top pipe bands, and solo players. Each reed comes pre-tested. Reeds are in 3 different strengths, soft, medium and hard. Please specify what strength you are looking for. ","Bagpipe Reeds",SR12-W,Regular,19.05,Y,10,10,Y,0,,N,,,,,,Y
,"Warnock Chanter Reed Hard","Warnock Chanter Reed Hard","Bagpipe Reeds",BP-R-Warnock-H,Regular,25.00,Y,0,0,Y,0,,N,,,,,,Y
,"**Bagpipes McCallum AB2   Special Order","The McCallum AB2 bagpipes are made from African Blackwood with a poly chanter.

These pipes have imitation ivory projecting mounts with nickle ring caps slides and ferrules. They are fully combed and beaded.

This item is for the ""sticks"" (stocks, drones, chanter, blowstick) only.  You need to add a bag + bag cover + reeds + silks.

Special Order",Bagpipes,BP-McC-AB2,Regular,1300.00,Y,0,0,Y,0,,N,,,,,,Y
,"**Bagpipes McCallum AB2 Ready to Play   Special Order","The McCallum AB2 bagpipes are made from African Blackwood with a poly chanter.

These pipes have imitation ivory projecting mounts with nickle ring caps slides and ferrules. They are fully combed and beaded.

 The pipes come with a Canmore zippered synthetic bag, synthetic drone reeds, pipe cover, and silk cords. The chanter reed is a cane reed. These pipes are fully set up and ready to go.

Special Order",Bagpipes,BP-McC-AB2-R2P,Regular,1750.00,Y,0,0,Y,0,,N,,,,,,Y
,"**Bagpipes McCallum AB3 Ready to Play   Special Order","McCallum AB3 Bagpipes - Full Imitation. 

The McCallum AB3 bagpipes are made from African Blackwood with a polypenco pipe chanter. 

These pipes are full imitation, that means that they have imitation ivory projecting mounts, ring caps and ferrules, with nickle slides They are fully combed and beaded. 

The pipes come with a Canmore zippered synthetic bag, synthetic drone reeds, pipe cover, and silk cords. The chanter reed is a cane reed. These pipes are fully set up and ready to go.

Special Order",Bagpipes,BP-McC-AB3-R2P,Regular,1750.00,Y,0,0,Y,0,,N,,,,,,Y
,"**Dunbar DB2 Bagpipes Ready to Play   Special Order","DB2 Blackwood Bagpipe 1/2 Imitation

Standard setup include:
- fully beaded and combed.
- projecting mounts and underbushings are imitation ivory and are threaded into place
- plain, threaded aluminum alloy ferrules - 5 stock ferrules are open and the 4 drone ferrules are closed (capped)
- plain, threaded aluminum alloy ring caps with protruding imitation ivory bushings
- standard Poly blowpipe & blowpipe stock
- Dunbar&#039;s Poly Elite II pipe chanter

Also included is a chanter reed, EZDrone reeds, Bannatyne Syntetic bag, pipe bag cover and drone cords.",Bagpipes,bp-dunbar_db2-r2p,Regular,1920.00,Y,0,0,Y,0,,N,,,,,,Y
,"**Dunbar DB3 Bagpipes Ready to Play   Special Order","DB3 Blackwood Bagpipe - Full Imitation

The standard setup include:
- fully beaded and combed
- threaded imitation ivory ferrules, rings, bushings and projecting mounts
- standard Poly blowpipe and blowpipe stock
- Dunbar&#039;s Elite II poly pipe chanter

Also included is a chanter reed, EZDrone reeds, Bannatyne Syntetic bag, pipe bag cover and drone cords.",Bagpipes,bp-dunbar_db3-r2p,Regular,1921.00,Y,0,0,Y,0,,N,,,,,,Y
